value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
yes,building,1101231533,4160306,266314125.8,18640,8516,4151790,64.1444114,4.135084946,222.735515,265.24259,590.7894488,,1,included in the single key label,1,,1
house,building,499438491.3,2795753,161743919.9,8100,28728,2767025,58.45408692,3.087834719,341.6080247,180.4965591,616.59073,,1,,1,,1
residential,building,63228204.14,392243,21278585.65,2377,219,392024,54.27878306,2.971447688,164.9238536,161.2865645,266.0000174,,1,,1,unclear via S2,1
apartments,building,72466150.59,255107,19192089.49,2192,133,254974,75.2707707,3.775834342,116.3202555,284.209961,330.5937527,,1,,1,unclear via S2,1
detached,building,28500233.68,124952,8378575.111,1020,46,124906,67.07904433,3.401560922,122.4568627,228.1734559,279.4140557,,0,,0,unimportant,0
commercial,building,50549532.07,64340,6763750.205,3056,49,64291,105.2052419,7.473595349,21.03763089,786.2614063,165.4107725,,0,,0,unimportant,0
retail,building,46515112.95,59970,6245280.23,2822,65,59905,104.2530712,7.44804256,21.22785259,776.4813112,164.8303081,,0,,0,unimportant,0
industrial,building,63332508.63,49311,6125089.655,2277,11,49300,124.2411695,10.33985006,21.65129556,1284.635064,278.1401345,,1,,1,large,1
school,building,22067276.91,37553,3694714.673,2570,33,37520,98.47320558,5.972660641,14.59922179,588.1470391,85.86489069,,1,,1,indicated by a yard,1
garage,building,2125319.815,24145,833309.5709,1924,11,24134,34.52844828,2.550456504,,88.06330549,,,,,,,
static_caravan,building,3173240.198,22028,1122919.561,364,223,21805,51.49826009,2.825883801,59.90384615,145.528099,87.17692852,,,,0,,0
shed,building,485747.1677,21353,371867.3168,1392,6,21347,17.42012071,1.306237859,,22.75482118,,,,,,,
roof,building,5238625.072,20742,1479584.076,3253,29,20713,71.43263055,3.54060655,6.367353212,252.9148396,16.10398116,,0,,0,"small, unimportant",0
warehouse,building,68626290.95,20197,3982291.265,1193,9,20188,197.2603163,17.2328658,16.92204526,3399.360558,575.2413323,,1,,1,large,1
carport,building,1096743.406,8202,434476.2595,471,1,8201,52.97844891,2.524288457,17.4118896,133.732887,23.28542264,,,,0,,0
terrace,building,1478148.426,4429,369935.6581,209,3,4426,83.58238998,3.995690586,21.17703349,333.9693688,70.72480508,,,,0,,0
hotel,building,3175499.771,4308,558921.098,916,4,4304,129.8608499,5.681481308,4.698689956,737.8019914,34.66702807,,,,0,,0
garages,building,686609.07,3992,245722.503,327,0,3992,61.55373321,2.794245792,12.20795107,171.99626,20.99721927,,,,0,,0
office,building,6769188.287,3836,629729.5015,815,34,3802,165.6311156,10.74935869,4.665030675,1780.428271,83.057525,,,,0,,0
farm_auxiliary,building,1153563.76,3641,256785.0937,662,1,3640,70.54535541,4.492331479,5.498489426,316.9131208,17.42543444,,,,0,,0
service,highway,103554217.9,1578481,199319396,33927,0,1578481,126.2729143,0.5195390915,,65.60371518,,,,,,,
residential,highway,64235275.84,789307,228924592.7,33672,1,789306,290.0327537,0.2805957852,,81.38196826,,,,,,,
footway,highway,223726982.2,443787,44012772.5,7787,10,443777,99.1776782,5.083228561,56.98946963,504.1428065,287.3083116,,0,500m2/obj and 56 objs per chip,0,unclear via S2,0
track,highway,87755001.14,309599,207830652,56216,10,309589,671.3114871,0.4222428228,5.507133201,283.4564572,15.61032467,,1,long and thin,1,,1
secondary,highway,117288.2625,154334,32135312.87,11651,1,154333,208.2206195,0.003649824821,,0.7599687852,,,,,,,
tertiary,highway,2637882.614,126766,46800190.61,17528,0,126766,369.1856697,0.05636478355,,20.80907036,,,,,,,
primary,highway,21286.49691,111767,19955246.09,7611,0,111767,178.5432739,0.001066711822,,0.1904542209,,,,,,,
path,highway,43979141.34,106501,48675522.45,17700,4,106497,457.0600341,0.9035165751,6.016779661,412.9613166,24.84697251,,0,long and thin,0,unclear via S2,0
unclassified,highway,39768263.16,56165,40468839.5,21585,0,56165,720.5348438,0.9826884994,2.602038453,708.0613044,18.42402741,,0,,0,,0
motorway_link,highway,0,38832,6327446.684,2794,0,38832,162.9441359,0,,0,,,,,,,
motorway,highway,0,36950,14605805.76,3934,0,36950,395.2856769,0,,0,,,,,,,
