value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way,,,freddie's decision,freddie's comments,use
motorway_link,highway,0,38832,6327446.684,2794,0,38832,0,162.9441359,,,,,
motorway,highway,0,36950,14605805.76,3934,0,36950,0,395.2856769,,,1,,1
primary_link,highway,0,6077,409992.4927,1576,0,6077,0,67.46626506,,,,,
tertiary_link,highway,0,2457,122745.9531,1204,0,2457,0,49.95765286,,,,,
trunk_link,highway,0,1938,242556.2739,484,0,1938,0,125.1580361,,,,,
abandoned,highway,0,59,22185.77061,37,0,59,0,376.0300104,,,0,,
escape,highway,0,20,5793.658588,5793.658588,0,20,0,289.6829294,,,0,,0
planned,highway,0,9,1046.921099,3,2,7,0,149.5601571,,,,,
disused,highway,0,8,618.3940311,6,1,7,0,88.34200445,,,,,
crossing,highway,0,262463,88.00630046,4971,262458,5,0,17.60126009,,,,,
bus_guideway,highway,0,2,17.46563673,2,0,2,0,8.732818363,,,,,
via_ferrata,highway,0,2,116.5321855,2,0,2,0,58.26609274,,,,,
passing_place,highway,0,328,41.20352603,130,327,1,0,41.20352603,,,,,
razed,highway,0,1,347.4209067,1,0,1,0,347.4209067,,,0,,
stream,waterway,0,1006874,351213518.9,53093,1,1006873,0,348.8161058,,,1,,1
river,waterway,0,18815,18203738.72,9284,0,18815,0,967.5120235,,,1,,1
pressurised,waterway,0,1883,1371221.471,620,0,1883,0,728.211084,,,0,,0
artificial,waterway,0,38,8679.009988,8,0,38,0,228.3949997,,,0,,
flume,waterway,0,21,592.0898799,15,3,18,0,32.89388221,,,,,
yes,waterway,0,14,457.6023867,5,1,13,0,35.20018359,,,,,
check_dam,waterway,0,13,2393.961344,4,0,13,0,184.1508726,,,,,
fish_pass,waterway,0,11,1318.247927,6,0,11,0,119.8407206,,,,,
construction,waterway,0,8,722.8272119,3,0,8,0,90.35340149,,,,,
wadi,waterway,0,7,1532.13913,2,0,7,0,218.8770186,,,0,,
floating_barrier,waterway,0,5,708.4677346,4,0,5,0,141.6935469,,,,,
culvert,waterway,0,2,23.15993818,1,0,2,0,11.57996909,,,,,
rapids,waterway,0,49,5.530376248,18,48,1,0,5.530376248,,,,,
sluice_gate,waterway,0,2,19.75209303,2,1,1,0,19.75209303,,,,,
brook,waterway,0,1,118.95748,1,0,1,0,118.95748,,,,,
dirt;earth;grass,surface,0,46,5397.49544,4,0,46,0,117.3368574,,,,,
stepping_stones,surface,0,36,675.1901833,21,0,36,0,18.75528287,,,,,
railway_sleepers,surface,0,28,997.9283928,3,1,27,0,36.96031084,,,,,
boardwalk,surface,0,22,1007.308795,8,0,22,0,45.7867634,,,,,
decomposed_granite,surface,0,15,9284.59714,8,0,15,0,618.9731427,,,0,,
"concrete,_ground",surface,0,13,1053.625791,1,0,13,0,81.04813775,,,,,
dirt;unpaved,surface,0,10,10987.91028,6,0,10,0,1098.791028,,,0,,
overgrown,surface,0,10,14090.06598,9,0,10,0,1409.006598,,,0,,
Unknown,surface,0,9,11949.48735,8,0,9,0,1327.720816,,,0,,
rocks,surface,0,8,4689.020584,6,0,8,0,586.127573,,,,,
snow,surface,0,6,4508.618961,2,0,6,0,751.4364935,,,,,
paved parking lot,surface,0,6,194.3994333,1,0,6,0,32.39990555,,,,,
wood_mulch,surface,0,6,743.1167982,2,0,6,0,123.8527997,,,,,
anti-slip,surface,0,6,105.7379486,1,0,6,0,17.62299143,,,,,
"asphalt,_concrete",surface,0,5,559.0053857,2,0,5,0,111.8010771,,,,,
"gravel,asphalt",surface,0,5,2750.277976,3,0,5,0,550.0555951,,,,,
wood;dirt,surface,0,5,55.0130218,3,0,5,0,11.00260436,,,,,
natural_surface_trail,surface,0,4,3834.951937,4,0,4,0,958.7379842,,,,,
"Trinity, CA",surface,0,4,3648.350471,4,0,4,0,912.0876177,,,0,,
aa,surface,0,4,309.8678071,1,0,4,0,77.46695177,,,,,
crossover,service,0,1258,113657.4515,504,1,1257,0,90.41961135,,,,,
slipway,service,0,152,7437.897869,112,0,152,0,48.93353861,,,,,
shared_driveway,service,0,128,9080.59573,22,0,128,0,70.94215414,,,,,
levee,service,0,28,26374.16055,12,0,28,0,941.9343052,,,0,,
bus,service,0,20,588.1833362,3,0,20,0,29.40916681,,,,,
fuel,service,0,15,299.2324803,2,0,15,0,19.94883202,,,,,
access,service,0,13,620.6467735,8,0,13,0,47.7420595,,,,,
parking_lane,service,0,11,1178.22176,2,0,11,0,107.1110691,,,,,
Busway,service,0,9,1105.245337,5,0,9,0,122.8050375,,,,,
private_road,service,0,7,4637.27872,6,0,7,0,662.4683885,,,0,,
branch,service,0,7,1222.421803,5,0,7,0,174.6316861,,,,,
airport,service,0,7,2182.958352,2,0,7,0,311.8511932,,,0,,
1,service,0,6,254.8346171,3,0,6,0,42.47243619,,,,,
golf_cart_track,service,0,5,2771.947939,2,0,5,0,554.3895878,,,0,,
fueling_lane,service,0,5,217.5424551,1,0,5,0,43.50849102,,,,,
3,service,0,4,388.0453353,1,0,4,0,97.01133382,,,,,
Curran Street,service,0,4,1054.126165,2,0,4,0,263.5315413,,,,,
transportation,service,0,4,355.8850032,2,0,4,0,88.97125081,,,,,
construction,service,0,3,98.28641301,2,0,3,0,32.76213767,,,,,
campground,service,0,3,1054.663806,3,0,3,0,351.554602,,,0,,
canal,landuse,0,8,13372.28343,8,0,8,0,1671.535428,,,1,,
aqueduct,landuse,0,3,1681.080097,3,0,3,0,560.3600323,,,1,,
link,footway,0,314,2241.837484,51,0,314,0,7.139609821,,,,,
yes,footway,0,171,54571.98884,31,0,171,0,319.1344377,,,0,,
ramp,footway,0,36,753.3725621,15,0,36,0,20.92701561,,,,,
indoor,footway,0,35,38.98270246,2,0,35,0,1.113791499,,,,,
alley,footway,0,7,351.2745054,3,0,7,0,50.1820722,,,,,
access,footway,0,3,155.4410729,3,0,3,0,51.81369098,,,,,
crosswalk,footway,0,2,9.877343643,2,0,2,0,4.938671822,,,,,
dirt,footway,0,1,416.178532,1,0,1,0,416.178532,,,0,,
island,footway,0,1,4.026070818,1,0,1,0,4.026070818,,,,,
bridge,footway,0,1,40.43902967,1,0,1,0,40.43902967,,,,,
platform,footway,0,1,22.90813068,1,0,1,0,22.90813068,,,,,
slide,footway,0,1,17.92465431,1,0,1,0,17.92465431,,,,,
divide,natural,0,430,602762.1465,306,0,430,0,1401.772434,,,0,,0
gully,natural,0,352,188163.5651,83,0,352,0,534.5555827,,,0,,
canyon,natural,0,263,230232.1389,196,3,260,0,885.5082265,,,0,,0
range,natural,0,59,72548.57134,54,0,59,0,1229.636802,,,0,,
earth_bank,natural,0,22,6774.389629,10,0,22,0,307.9268013,,,0,,
gorge,natural,0,16,13761.017,14,0,16,0,860.0635627,,,0,,
