value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way
yes,building,1101231532.5296185,4160306.0,266314125.78715533,18640.0,8516.0,4151790.0,265.24258995026685,64.14441139536328
house,building,499438491.3237475,2795753.0,161743919.85589108,8100.0,28728.0,2767025.0,180.49655905665742,58.45408691858262
residential,building,63228204.14482909,392243.0,21278585.651210006,2377.0,219.0,392024.0,161.2865644573523,54.27878306228702
apartments,building,72466150.59289043,255107.0,19192089.489408817,2192.0,133.0,254974.0,284.20996098774947,75.27077070371418
detached,building,28500233.683459073,124952.0,8378575.111241188,1020.0,46.0,124906.0,228.17345590651428,67.07904433126662
commercial,building,50549532.07095082,64340.0,6763750.204757301,3056.0,49.0,64291.0,786.2614062769411,105.20524186522688
retail,building,46515112.948123015,59970.0,6245280.229684943,2822.0,65.0,59905.0,776.4813112114684,104.25307119080115
industrial,building,63332508.63236061,49311.0,6125089.654747231,2277.0,11.0,49300.0,1284.6350635367264,124.24116946748947
school,building,22067276.907216556,37553.0,3694714.673219583,2570.0,33.0,37520.0,588.1470391049189,98.4732055762149
garage,building,2125319.814755579,24145.0,833309.5709066689,1924.0,11.0,24134.0,88.06330549248277,34.5284482848541
static_caravan,building,3173240.19819683,22028.0,1122919.5613679832,364.0,223.0,21805.0,145.5280989771534,51.498260094839864
shed,building,485747.16766927147,21353.0,371867.3168059476,1392.0,6.0,21347.0,22.754821177180467,17.42012071044866
roof,building,5238625.0724142045,20742.0,1479584.076487611,3253.0,29.0,20713.0,252.9148395893499,71.43263054543577
warehouse,building,68626290.94597152,20197.0,3982291.2648102143,1193.0,9.0,20188.0,3399.360558052879,197.26031626759533
carport,building,1096743.4064340382,8202.0,434476.2594710127,471.0,1.0,8201.0,133.7328870179293,52.97844890513507
terrace,building,1478148.426212235,4429.0,369935.65807114437,209.0,3.0,4426.0,333.9693687781823,83.58238998444293
hotel,building,3175499.770961467,4308.0,558921.0980268031,916.0,4.0,4304.0,737.801991394393,129.86084991329068
garages,building,686609.0699673477,3992.0,245722.50297801523,327.0,0.0,3992.0,171.99626001186064,61.55373321092566
office,building,6769188.287244095,3836.0,629729.5014844835,815.0,34.0,3802.0,1780.4282712372685,165.63111559297303
farm_auxiliary,building,1153563.7597277835,3641.0,256785.09368500154,662.0,1.0,3640.0,316.91312080433613,70.54535540796746
service,highway,103554217.94380578,1578481.0,199319396.03501672,33927.0,0.0,1578481.0,65.60371518175118,126.2729142986306
residential,highway,64235275.84037618,789307.0,228924592.7133242,33672.0,1.0,789306.0,81.38196826120185,290.03275372710226
footway,highway,223726982.24234802,443787.0,44012772.499964505,7787.0,10.0,443777.0,504.14280650495186,99.17767820316173
track,highway,87755001.14224964,309599.0,207830651.96893483,56216.0,10.0,309589.0,283.4564572457343,671.3114870648984
secondary,highway,117288.26253278017,154334.0,32135312.869799104,11651.0,1.0,154333.0,0.7599687852421723,208.22061950327605
tertiary,highway,2637882.613825972,126766.0,46800190.610090055,17528.0,0.0,126766.0,20.809070364498147,369.18566973865273
primary,highway,21286.49691106571,111767.0,19955246.089186333,7611.0,0.0,111767.0,0.1904542209334214,178.54327385709854
path,highway,43979141.33811188,106501.0,48675522.45169048,17700.0,4.0,106497.0,412.9613166390779,457.0600341013407
unclassified,highway,39768263.16414517,56165.0,40468839.501659006,21585.0,0.0,56165.0,708.061304444853,720.534843793448
motorway_link,highway,0.0,38832.0,6327446.683924086,2794.0,0.0,38832.0,0.0,162.94413586537098
motorway,highway,0.0,36950.0,14605805.762353167,3934.0,0.0,36950.0,0.0,395.2856769243076
cycleway,highway,2991582.791777703,25804.0,5866339.337223371,2869.0,4.0,25800.0,115.95282138673268,227.37749369082832
steps,highway,1229.3729343366535,16315.0,219243.74410788732,2005.0,32.0,16283.0,0.0755003951567066,13.464579261062907
trunk,highway,1099.3054001085711,14321.0,6687864.686122403,3024.0,0.0,14321.0,0.07676177641984297,466.99704532661144
primary_link,highway,0.0,6077.0,409992.49274359306,1576.0,0.0,6077.0,0.0,67.46626505571714
secondary_link,highway,911.4061932585838,5988.0,343048.4501559225,1926.0,0.0,5988.0,0.15220544309595588,57.28932033332039
pedestrian,highway,1832523.2198822205,5644.0,559382.2160915857,932.0,6.0,5638.0,325.03072363998234,99.21642711805352
construction,highway,240596.79052900476,3367.0,904680.8082851362,711.0,45.0,3322.0,72.4252831213139,272.3301650466997
tertiary_link,highway,0.0,2457.0,122745.9530773419,1204.0,0.0,2457.0,0.0,49.95765286013101
bridleway,highway,1389978.7866221485,2390.0,807075.5238508504,360.0,4.0,2386.0,582.5560715097018,338.2546202224855
stream,waterway,0.0,1006874.0,351213518.8522219,53093.0,1.0,1006873.0,0.0,348.81610575735164
ditch,waterway,1099334.36249582,54261.0,26780869.979868088,7850.0,2.0,54259.0,20.260866630343724,493.5747061292705
river,waterway,0.0,18815.0,18203738.72125887,9284.0,0.0,18815.0,0.0,967.5120234525044
canal,waterway,20139.720415543266,12857.0,7583339.65096084,4064.0,0.0,12857.0,1.5664401038767415,589.8218597620627
drain,waterway,40573.92992156298,11534.0,2876316.2396183466,2180.0,2.0,11532.0,3.5183775512975184,249.42041619999537
pressurised,waterway,0.0,1883.0,1371221.4712244533,620.0,0.0,1883.0,0.0,728.2110840278563
dam,waterway,12983984.295178683,2514.0,546293.4618062184,1924.0,818.0,1696.0,7655.651117440261,322.10699398951556
tidal_channel,waterway,441709.0537257101,657.0,409641.05258094287,172.0,1.0,656.0,673.3369721428508,624.4528240563153
weir,waterway,183400.54537550165,480.0,17884.377642904314,320.0,259.0,221.0,829.8667211561161,80.92478571449915
dock,waterway,162792.08281002112,452.0,14978.116976469939,100.0,341.0,111.0,1466.5953406308208,134.93799077900846
artificial,waterway,0.0,38.0,8679.009988019181,8.0,0.0,38.0,0.0,228.3949996847153
waterfall,waterway,582.3653314289965,745.0,591.5420908829591,462.0,709.0,36.0,16.176814761916567,16.431724746748863
boatyard,waterway,181059.50404609973,26.0,8115.930155293107,20.0,3.0,23.0,7872.152349830423,352.86652849100466
spillway,waterway,322.77517366381517,22.0,3826.2612431289213,19.0,1.0,21.0,15.37024636494358,182.20291633947244
flume,waterway,0.0,21.0,592.0898798646876,15.0,3.0,18.0,0.0,32.89388221470487
yes,waterway,0.0,14.0,457.6023867002183,5.0,1.0,13.0,0.0,35.200183592324485
check_dam,waterway,0.0,13.0,2393.961344151924,4.0,0.0,13.0,0.0,184.1508726270711
fish_pass,waterway,0.0,11.0,1318.2479265840989,6.0,0.0,11.0,0.0,119.84072059855444
construction,waterway,0.0,8.0,722.8272118822262,3.0,0.0,8.0,0.0,90.35340148527827
wadi,waterway,0.0,7.0,1532.1391300165212,2.0,0.0,7.0,0.0,218.87701857378875
asphalt,surface,68114501.19012277,395299.0,79044986.66067909,16876.0,4478.0,390821.0,174.28567346719538,202.25368304333463
concrete,surface,38702018.82698332,83737.0,10593190.671286777,4639.0,379.0,83358.0,464.2867970318784,127.08067217647708
unpaved,surface,60471017.55215363,70082.0,45376676.74071061,20337.0,35.0,70047.0,863.2920403750858,647.8032855184463
paved,surface,115558633.28819886,64931.0,16752321.829010675,7354.0,163.0,64768.0,1784.1933252254023,258.6512140101698
dirt,surface,10232805.441076072,50690.0,31042992.316743933,12471.0,80.0,50610.0,202.1893981639216,613.3766511903563
ground,surface,3299980.9031732855,26523.0,17073167.806777064,6490.0,38.0,26485.0,124.59810848303891,644.63537122058
gravel,surface,15319957.700842904,9865.0,7502807.783563111,5197.0,21.0,9844.0,1556.2736388503558,762.1706403457041
sand,surface,40383714.39611973,7173.0,4604497.520622074,2947.0,28.0,7145.0,5652.024408134322,644.4363219904932
compacted,surface,1068035.2453496144,6000.0,3697607.254204368,2561.0,8.0,5992.0,178.2435322679597,617.0906632517303
grass,surface,13959344.858324401,3781.0,819869.069270561,1134.0,34.0,3747.0,3725.472340091914,218.80679724327754
paving_stones,surface,366400.6206839504,3258.0,193508.97939056362,507.0,18.0,3240.0,113.0866113222069,59.724993639062845
wood,surface,109707.51866251744,2098.0,92763.41120298122,822.0,9.0,2089.0,52.516763361664644,44.40565399855492
concrete:plates,surface,2555611.177779321,1728.0,333114.7920752333,290.0,10.0,1718.0,1487.550161687614,193.89685219745826
fine_gravel,surface,180236.5598915027,1283.0,658670.5236763491,642.0,3.0,1280.0,140.80981241523648,514.5863466221477
earth,surface,105305.77391308884,1110.0,417001.7901755555,254.0,0.0,1110.0,94.87006658836832,375.6772884464464
cement,surface,65532.42979847219,1018.0,21554.411069389258,36.0,2.0,1016.0,64.50042302999232,21.214971524989426
artificial_turf,surface,2704824.7465571556,612.0,157686.95623080878,430.0,1.0,611.0,4426.8817455927265,258.0801247640078
woodchips,surface,61410.69252143454,300.0,27425.893873211273,153.0,37.0,263.0,233.50073202066363,104.28096529738127
brick,surface,20671.63677398466,243.0,13221.798874389071,51.0,1.0,242.0,85.41998666935811,54.63553253879781
bushes/trees,surface,40949.170693464934,190.0,19481.32988615013,41.0,0.0,190.0,215.5219510182365,102.53331519026385
driveway,service,4970677.78884107,320508.0,29569658.921823137,19345.0,0.0,320508.0,15.508747952753346,92.25872340728823
parking_aisle,service,12686889.988642411,276262.0,23136686.658225518,6907.0,17.0,276245.0,45.92622486793394,83.75422779860456
alley,service,309936.6266875425,36079.0,7136787.273919748,2819.0,0.0,36079.0,8.590499367708153,197.81000786939072
drive-through,service,105753.40439995551,12482.0,618567.5849503945,2203.0,1.0,12481.0,8.4731515423408,49.560739119493185
spur,service,302719.5341292754,8999.0,2568933.0415368853,1475.0,0.0,8999.0,33.63924148564012,285.4687233622497
yard,service,173370.97392862558,7774.0,2729907.2711083572,534.0,0.0,7774.0,22.301385892542523,351.1586404821658
siding,service,376482.0950304981,3694.0,1660831.1356950568,1527.0,0.0,3694.0,101.91718869260913,449.6023648335292
emergency_access,service,5750.452895224372,2376.0,498862.484959867,911.0,2.0,2374.0,2.4222632246100977,210.13584033692797
crossover,service,0.0,1258.0,113657.45146434319,504.0,1.0,1257.0,0.0,90.41961134792616
pipestem,service,160620.7618937968,855.0,234390.29954792451,300.0,0.0,855.0,187.86054022666292,274.1407012256427
slipway,service,0.0,152.0,7437.897869363707,112.0,0.0,152.0,0.0,48.93353861423492
shared_driveway,service,0.0,128.0,9080.595729727322,22.0,0.0,128.0,0.0,70.9421541384947
parking,service,804.6857518733392,35.0,3131.179935586492,18.0,0.0,35.0,22.991021482095405,89.46228387389976
levee,service,0.0,28.0,26374.16054656021,12.0,0.0,28.0,0.0,941.9343052342932
bus,service,0.0,20.0,588.1833361907089,3.0,0.0,20.0,0.0,29.409166809535446
aircraft_control,service,2355.4489306947057,17.0,740.7205153777234,17.0,0.0,17.0,138.55581945262975,43.57179502221902
fuel,service,0.0,15.0,299.23248033886733,2.0,0.0,15.0,0.0,19.948832022591155
access,service,0.0,13.0,620.6467734967596,8.0,0.0,13.0,0.0,47.74205949975074
storage,service,100123.45483102859,14.0,6038.195405339144,10.0,2.0,12.0,8343.621235919049,503.1829504449286
parking_lane,service,0.0,11.0,1178.2217601057898,2.0,0.0,11.0,0.0,107.11106910052635
residential,landuse,6854399493.000503,230181.0,110729462.27320132,12233.0,345.0,229836.0,29823.002023183933,481.77597188082507
grass,landuse,111727125.88099518,55270.0,8110185.221419878,3420.0,17.0,55253.0,2022.1006258663817,146.78271263858755
farmland,landuse,7993772654.303507,34439.0,60479045.349205665,8983.0,10.0,34429.0,232181.37774270258,1756.6309027042803
meadow,landuse,7906782289.57662,30982.0,54530455.793794334,10897.0,10.0,30972.0,255288.075990463,1760.6372140576757
commercial,landuse,548312643.7059613,24913.0,12675894.804592153,4742.0,46.0,24867.0,22049.81074138261,509.7476496799836
orchard,landuse,4023031813.2706685,24950.0,36236341.67236832,4809.0,105.0,24845.0,161925.20882554512,1458.4963442289522
vineyard,landuse,1892803756.2331464,19522.0,21705352.172584962,2295.0,57.0,19465.0,97241.39513142289,1115.0964383552512
industrial,landuse,1315666435.3860626,15534.0,14388510.391767431,5082.0,122.0,15412.0,85366.36616831447,933.5913828034928
