value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way
motorway_link,highway,0.0,38832.0,6327446.683924086,2794.0,0.0,38832.0,0.0,162.94413586537098
motorway,highway,0.0,36950.0,14605805.762353167,3934.0,0.0,36950.0,0.0,395.2856769243076
primary_link,highway,0.0,6077.0,409992.49274359306,1576.0,0.0,6077.0,0.0,67.46626505571714
tertiary_link,highway,0.0,2457.0,122745.9530773419,1204.0,0.0,2457.0,0.0,49.95765286013101
trunk_link,highway,0.0,1938.0,242556.27387559557,484.0,0.0,1938.0,0.0,125.15803605551886
abandoned,highway,0.0,59.0,22185.7706110396,37.0,0.0,59.0,0.0,376.0300103566034
escape,highway,0.0,20.0,5793.658588009859,14.0,0.0,20.0,0.0,289.682929400493
planned,highway,0.0,9.0,1046.9210993863292,3.0,2.0,7.0,0.0,149.56015705518988
disused,highway,0.0,8.0,618.3940311333046,6.0,1.0,7.0,0.0,88.34200444761494
crossing,highway,0.0,262463.0,88.00630045705485,4971.0,262458.0,5.0,0.0,17.60126009141097
bus_guideway,highway,0.0,2.0,17.465636725034237,2.0,0.0,2.0,0.0,8.732818362517119
via_ferrata,highway,0.0,2.0,116.53218547382775,2.0,0.0,2.0,0.0,58.266092736913876
passing_place,highway,0.0,328.0,41.203526031524625,130.0,327.0,1.0,0.0,41.203526031524625
razed,highway,0.0,1.0,347.4209067248907,1.0,0.0,1.0,0.0,347.4209067248907
stream,waterway,0.0,1006874.0,351213518.8522219,53093.0,1.0,1006873.0,0.0,348.81610575735164
river,waterway,0.0,18815.0,18203738.72125887,9284.0,0.0,18815.0,0.0,967.5120234525044
pressurised,waterway,0.0,1883.0,1371221.4712244533,620.0,0.0,1883.0,0.0,728.2110840278563
artificial,waterway,0.0,38.0,8679.009988019181,8.0,0.0,38.0,0.0,228.3949996847153
flume,waterway,0.0,21.0,592.0898798646876,15.0,3.0,18.0,0.0,32.89388221470487
yes,waterway,0.0,14.0,457.6023867002183,5.0,1.0,13.0,0.0,35.200183592324485
check_dam,waterway,0.0,13.0,2393.961344151924,4.0,0.0,13.0,0.0,184.1508726270711
fish_pass,waterway,0.0,11.0,1318.2479265840989,6.0,0.0,11.0,0.0,119.84072059855444
construction,waterway,0.0,8.0,722.8272118822262,3.0,0.0,8.0,0.0,90.35340148527827
wadi,waterway,0.0,7.0,1532.1391300165212,2.0,0.0,7.0,0.0,218.87701857378875
floating_barrier,waterway,0.0,5.0,708.4677346496348,4.0,0.0,5.0,0.0,141.69354692992698
culvert,waterway,0.0,2.0,23.159938180912242,1.0,0.0,2.0,0.0,11.579969090456121
rapids,waterway,0.0,49.0,5.530376247578149,18.0,48.0,1.0,0.0,5.530376247578149
sluice_gate,waterway,0.0,2.0,19.752093025900994,2.0,1.0,1.0,0.0,19.752093025900994
brook,waterway,0.0,1.0,118.95747995464549,1.0,0.0,1.0,0.0,118.95747995464549
dirt;earth;grass,surface,0.0,46.0,5397.495439963428,4.0,0.0,46.0,0.0,117.33685739050931
stepping_stones,surface,0.0,36.0,675.1901832773171,21.0,0.0,36.0,0.0,18.755282868814366
railway_sleepers,surface,0.0,28.0,997.9283927804152,3.0,1.0,27.0,0.0,36.96031084371908
boardwalk,surface,0.0,22.0,1007.3087948430309,8.0,0.0,22.0,0.0,45.78676340195595
decomposed_granite,surface,0.0,15.0,9284.597140444837,8.0,0.0,15.0,0.0,618.9731426963225
"concrete,_ground",surface,0.0,13.0,1053.6257907936488,1.0,0.0,13.0,0.0,81.0481377533576
dirt;unpaved,surface,0.0,10.0,10987.910279900025,6.0,0.0,10.0,0.0,1098.7910279900025
overgrown,surface,0.0,10.0,14090.065982428114,9.0,0.0,10.0,0.0,1409.0065982428114
Unknown,surface,0.0,9.0,11949.487347755656,8.0,0.0,9.0,0.0,1327.720816417295
rocks,surface,0.0,8.0,4689.020583798295,6.0,0.0,8.0,0.0,586.1275729747869
snow,surface,0.0,6.0,4508.618960945341,2.0,0.0,6.0,0.0,751.4364934908903
paved parking lot,surface,0.0,6.0,194.39943331246013,1.0,0.0,6.0,0.0,32.39990555207669
wood_mulch,surface,0.0,6.0,743.1167981967858,2.0,0.0,6.0,0.0,123.8527996994643
anti-slip,surface,0.0,6.0,105.73794859621421,1.0,0.0,6.0,0.0,17.622991432702367
"asphalt,_concrete",surface,0.0,5.0,559.0053857205027,2.0,0.0,5.0,0.0,111.80107714410053
"gravel,asphalt",surface,0.0,5.0,2750.2779755399324,3.0,0.0,5.0,0.0,550.0555951079865
wood;dirt,surface,0.0,5.0,55.01302180436791,3.0,0.0,5.0,0.0,11.002604360873582
natural_surface_trail,surface,0.0,4.0,3834.9519369153913,4.0,0.0,4.0,0.0,958.7379842288478
"Trinity, CA",surface,0.0,4.0,3648.3504706520707,4.0,0.0,4.0,0.0,912.0876176630177
aa,surface,0.0,4.0,309.8678070635552,1.0,0.0,4.0,0.0,77.4669517658888
crossover,service,0.0,1258.0,113657.45146434319,504.0,1.0,1257.0,0.0,90.41961134792616
slipway,service,0.0,152.0,7437.897869363707,112.0,0.0,152.0,0.0,48.93353861423492
shared_driveway,service,0.0,128.0,9080.595729727322,22.0,0.0,128.0,0.0,70.9421541384947
levee,service,0.0,28.0,26374.16054656021,12.0,0.0,28.0,0.0,941.9343052342932
bus,service,0.0,20.0,588.1833361907089,3.0,0.0,20.0,0.0,29.409166809535446
fuel,service,0.0,15.0,299.23248033886733,2.0,0.0,15.0,0.0,19.948832022591155
access,service,0.0,13.0,620.6467734967596,8.0,0.0,13.0,0.0,47.74205949975074
parking_lane,service,0.0,11.0,1178.2217601057898,2.0,0.0,11.0,0.0,107.11106910052635
Busway,service,0.0,9.0,1105.2453374544357,5.0,0.0,9.0,0.0,122.8050374949373
private_road,service,0.0,7.0,4637.278719649188,6.0,0.0,7.0,0.0,662.4683885213126
branch,service,0.0,7.0,1222.4218026825292,5.0,0.0,7.0,0.0,174.63168609750417
airport,service,0.0,7.0,2182.958352057157,2.0,0.0,7.0,0.0,311.8511931510224
1,service,0.0,6.0,254.83461712725335,3.0,0.0,6.0,0.0,42.47243618787556
golf_cart_track,service,0.0,5.0,2771.9479391089803,2.0,0.0,5.0,0.0,554.3895878217961
fueling_lane,service,0.0,5.0,217.54245508042283,1.0,0.0,5.0,0.0,43.50849101608456
3,service,0.0,4.0,388.04533526173753,1.0,0.0,4.0,0.0,97.01133381543438
Curran Street,service,0.0,4.0,1054.1261653646106,2.0,0.0,4.0,0.0,263.53154134115266
transportation,service,0.0,4.0,355.88500324924615,2.0,0.0,4.0,0.0,88.97125081231154
construction,service,0.0,3.0,98.28641300708509,2.0,0.0,3.0,0.0,32.76213766902836
campground,service,0.0,3.0,1054.663805871337,3.0,0.0,3.0,0.0,351.5546019571123
canal,landuse,0.0,8.0,13372.283425118985,8.0,0.0,8.0,0.0,1671.5354281398731
aqueduct,landuse,0.0,3.0,1681.080096949357,3.0,0.0,3.0,0.0,560.3600323164524
link,footway,0.0,314.0,2241.8374837084834,51.0,0.0,314.0,0.0,7.139609820727654
yes,footway,0.0,171.0,54571.98884151785,31.0,0.0,171.0,0.0,319.13443766969505
ramp,footway,0.0,36.0,753.3725621183224,15.0,0.0,36.0,0.0,20.927015614397845
indoor,footway,0.0,35.0,38.9827024636787,2.0,0.0,35.0,0.0,1.1137914989622486
alley,footway,0.0,7.0,351.27450538031155,3.0,0.0,7.0,0.0,50.18207219718737
access,footway,0.0,3.0,155.44107293809023,3.0,0.0,3.0,0.0,51.81369097936341
crosswalk,footway,0.0,2.0,9.877343643465192,2.0,0.0,2.0,0.0,4.938671821732596
dirt,footway,0.0,1.0,416.1785320237054,1.0,0.0,1.0,0.0,416.1785320237054
island,footway,0.0,1.0,4.02607081751277,1.0,0.0,1.0,0.0,4.02607081751277
bridge,footway,0.0,1.0,40.439029673521226,1.0,0.0,1.0,0.0,40.439029673521226
platform,footway,0.0,1.0,22.908130679543195,1.0,0.0,1.0,0.0,22.908130679543195
slide,footway,0.0,1.0,17.924654311472327,1.0,0.0,1.0,0.0,17.924654311472327
divide,natural,0.0,430.0,602762.1465258326,306.0,0.0,430.0,0.0,1401.772433781006
gully,natural,0.0,352.0,188163.56510181222,83.0,0.0,352.0,0.0,534.5555826756029
canyon,natural,0.0,263.0,230232.13889829707,196.0,3.0,260.0,0.0,885.5082265319118
range,natural,0.0,59.0,72548.57133693382,54.0,0.0,59.0,0.0,1229.6368023209122
earth_bank,natural,0.0,22.0,6774.389629085173,10.0,0.0,22.0,0.0,307.9268013220533
gorge,natural,0.0,16.0,13761.017003038018,14.0,0.0,16.0,0.0,860.0635626898761
arete,natural,0.0,10.0,6026.192215138142,10.0,0.0,10.0,0.0,602.6192215138142
ravine,natural,0.0,3.0,825.1515825702845,3.0,1.0,2.0,0.0,412.57579128514226
saddle,natural,0.0,743.0,146.55633883778887,616.0,742.0,1.0,0.0,146.55633883778887
hitching_post,amenity,0.0,26.0,80.24379234231891,15.0,14.0,12.0,0.0,6.686982695193243
bikelane,amenity,0.0,5.0,107.31378858686682,1.0,0.0,5.0,0.0,21.462757717373364
